Topic;Keyword;Year;Importance value
Network;node;1990;0.006356474
Network;node;1991;0.005942034
Network;node;1992;0.005542174
Network;node;1993;0.005204019
Network;node;1994;0.004952929
Network;node;1995;0.004665425
Network;node;1996;0.004440249
Network;node;1997;0.00415527
Network;node;1998;0.003887745
Network;node;1999;0.003666379
Network;service;1990;0.002120154
Network;service;1991;0.002000173
Network;service;1992;0.001893146
Network;service;1993;0.001797764
Network;service;1994;0.001710452
Network;service;1995;0.001629909
Network;service;1996;0.001557066
Network;service;1997;0.001492044
Network;service;1998;0.001436914
Network;service;1999;0.001387402
Network;protocol;1990;0.009476046
Network;protocol;1991;0.009230051
Network;protocol;1992;0.009034961
Network;protocol;1993;0.008500188
Network;protocol;1994;0.007878107
Network;protocol;1995;0.007331871
Network;protocol;1996;0.006570422
Network;protocol;1997;0.005775688
Network;protocol;1998;0.00513043
Network;protocol;1999;0.004540259
Network;network;1990;0.007561704
Network;network;1991;0.00700381
Network;network;1992;0.006496084
Network;network;1993;0.006097196
Network;network;1994;0.005717502
Network;network;1995;0.00528086
Network;network;1996;0.004877195
Network;network;1997;0.004518803
Network;network;1998;0.004122539
Network;network;1999;0.003765761
Network;algorithm;1990;0.005599709
Network;algorithm;1991;0.005391667
Network;algorithm;1992;0.005143565
Network;algorithm;1993;0.004930552
Network;algorithm;1994;0.004649326
Network;algorithm;1995;0.004340601
Network;algorithm;1996;0.004030568
Network;algorithm;1997;0.003748752
Network;algorithm;1998;0.003458688
Network;algorithm;1999;0.003221923
Software Engineering;software development;1990;0.017120758
Software Engineering;software development;1991;0.01761066
Software Engineering;software development;1992;0.01825743
Software Engineering;software development;1993;0.019471396
Software Engineering;software development;1994;0.020448363
Software Engineering;software development;1995;0.018315527
Software Engineering;software development;1996;0.016617411
Software Engineering;software development;1997;0.015766477
Software Engineering;software development;1998;0.015337598
Software Engineering;software development;1999;0.014647591
Software Engineering;metric;1990;0.004750096
Software Engineering;metric;1991;0.004668733
Software Engineering;metric;1992;0.004586982
Software Engineering;metric;1993;0.00453216
Software Engineering;metric;1994;0.00446845
Software Engineering;metric;1995;0.004474559
Software Engineering;metric;1996;0.004492767
Software Engineering;metric;1997;0.004571116
Software Engineering;metric;1998;0.004696998
Software Engineering;metric;1999;0.004900683
Software Engineering;product;1990;0.004918745
Software Engineering;product;1991;0.004968714
Software Engineering;product;1992;0.005080829
Software Engineering;product;1993;0.005173165
Software Engineering;product;1994;0.005301281
Software Engineering;product;1995;0.005425515
Software Engineering;product;1996;0.005291766
Software Engineering;product;1997;0.005183436
Software Engineering;product;1998;0.005097238
Software Engineering;product;1999;0.004945169
Software Engineering;testing;1990;0.003520199
Software Engineering;testing;1991;0.003492166
Software Engineering;testing;1992;0.00349772
Software Engineering;testing;1993;0.003515509
Software Engineering;testing;1994;0.003557149
Software Engineering;testing;1995;0.00366148
Software Engineering;testing;1996;0.003780979
Software Engineering;testing;1997;0.003929891
Software Engineering;testing;1998;0.004043612
Software Engineering;testing;1999;0.004207059
Software Engineering;software system;1990;0.008855053
Software Engineering;software system;1991;0.009273665
Software Engineering;software system;1992;0.008760119
Software Engineering;software system;1993;0.00843999
Software Engineering;software system;1994;0.008306615
Software Engineering;software system;1995;0.008304138
Software Engineering;software system;1996;0.008417669
Software Engineering;software system;1997;0.00867115
Software Engineering;software system;1998;0.009015035
Software Engineering;software system;1999;0.009408389
OOP;abstract data type;1990;0.008210332
OOP;abstract data type;1991;0.007398147
